# Manual URL pins, for rows where automatic resolution picks the wrong asset.
# Format:  <figma path><TAB><direct URL to the logo file>
# These take priority over every resolver, so a pinned row is fetched verbatim.
#
# Example:
payments/indo/telco-data/telkom-fixed-line	https://www.telkom.co.id/images/logo_horizontal.svg
payments/indo/internet-tv/cbn	https://storage.cybiteam.id/assets.cbn.id/logo_cbn_401c3be7af.png
payments/indo/internet-tv/first-media	https://upload.wikimedia.org/wikipedia/commons/8/8f/First_Media_logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
payments/indo/internet-tv/k-vision	https://www.k-vision.tv/themes/kvision/images/k-vision-logo.png
payments/indo/internet-tv/mnc-vision	https://www.mncvision.id/logo250.png
payments/indo/internet-tv/transvision	https://www.transvision.co.id/img/icons/transvision_color.png
payments/indo/utilities-bills/pgn	https://upload.wikimedia.org/wikipedia/commons/d/d2/Logo_Pertamina_Gas_Negara.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original
payments/indo/utilities-bills/pegadaian	https://commons.wikimedia.org/wiki/Special:FilePath/Pegadaian_logo_%282013%29.svg
payments/indo/finance-insurance/aeon	https://www.aeon.co.id/img/brand-logo.svg
payments/indo/finance-insurance/bfi-finance	https://www.bfi.co.id/static/images/logo-bfi.png
payments/indo/finance-insurance/mega-finance	https://www.megafinance.co.id/wp-content/uploads/2023/10/Logo-Mega-Finance.png
payments/indo/finance-insurance/oto-kredit-motor	https://asset.oto.co.id/external/cfind/source/images/general/oto-logo.svg
payments/indo/finance-insurance/oto-kredit-mobil	https://asset.oto.co.id/external/cfind/source/images/general/oto-logo.svg
payments/indo/finance-insurance/suzuki-finance	https://www.sfi.co.id/assets/images/logo1.png
payments/indo/finance-insurance/prudential	https://www.prudential.co.id/content/dam/prudential-aem-common/header/Prudential-Logo.svg
payments/indo/government-public/samsat-jatim	https://bapenda.jatimprov.go.id/themes/tailwind/bapenda/images/logo-1.png
payments/indo/government-public/samsat-jateng	https://samsat.jatengprov.go.id/codebase/assets/img/logo_instansi.png?p=20260814133213
payments/indo/government-public/samsat-jabar	https://bapenda.jabarprov.go.id/wp-content/uploads/2021/01/Logo-Bapenda-Jabar.png
payments/indo/government-public/samsat-banten	https://bapenda.bantenprov.go.id/storage/bapenda/website_logo-d470d15d-dd71-444f-9a2a-1b972db8cfaa.png
payments/indo/government-public/samsat-sumut	https://bapenda.sumutprov.go.id/images/logo/1673795827logo%203x2.png
payments/indo/education-invoicing/spil	https://www.spil.co.id/spil_logo.svg
payments/indo/education-invoicing/paper-id	https://paper.id/assets/images/seo/paper-logo-light.svg
minimarkets/indo/alfamidi	https://www.alfamidiku.com/assets/images/logo.png
ecommerce/indo/alfagift	https://static-content.alfagift.id/static/logo-alfagift.png
ecommerce/indo/klik-indomaret	https://www.indomaret.co.id/wp-content/uploads/2025/02/logos/klik-idm.png
# banks/indo/bca	https://www.bca.co.id/-/media/Feature/Header/HeaderLogo/logo-bca.svg
payments/indo/telco-data/telkomsel	https://www.telkomsel.com/sites/default/files/asset/fullhtml/img/gallery/telkomsel/telkomsel-br_0.png
