figma_path,outcome,detail,url
banks/indo/uob-indonesia,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/e1/bd/02/e1bd0225-46b8-a3a1-7c3b-2009769a4742/AppIcon-1x_U007emarketing-0-6-0-85-220-0.png/1024x1024bb.png
banks/indo/citibank-indonesia,downloaded,"brand-site | unknown | 3.15:1 (horizontal, 1400x445) | has own baked-in background",https://www.citigroup.com/rcs/v1/media/citigpa/akpublic/storage/retrieveMediaFile/6359ebbc69e8b35a2eae8fa0.jpg
banks/indo/bank-raya,downloaded,"brand-site | wordmark | 1.83:1 (horizontal, 1485x812) | vector (verify no baked-in background)",https://www.bankraya.co.id/img/logo.svg
banks/indo/amar-bank,downloaded,"brand-site | app-icon | 1.00:1 (square, 180x180) | transparent",https://storage.googleapis.com/amarbank-new/prod/image/comp/favicon_io/apple-touch-icon.png
banks/indo/krom-bank,downloaded,"brand-site | app-icon | 1.00:1 (square, 180x180) | transparent",https://i0.wp.com/krom.id/wp-content/uploads/2022/08/cropped-ic_krom_logo.png?fit=180%2C180&ssl=1
banks/indo/bank-saqu,downloaded,"brand-site | app-icon | 1.00:1 (square, 192x192) | transparent",https://banksaqu.co.id/icons/apple-icon.png
banks/indo/hibank,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/3e/bc/62/3ebc624a-929b-07f3-37db-d845752f4c84/AppIcon-0-0-1x_U007emarketing-0-11-0-85-220.png/1024x1024bb.png
banks/indo/aladin-syariah,downloaded,"brand-site | app-icon | 1.00:1 (square, 152x152) | has own baked-in background",https://aladinbank.id/themes/aladin/assets/favicon/apple-icon-152x152.png
banks/indo/nobu-bank,downloaded,"brand-site | wordmark | 2.42:1 (horizontal, 145x60) | transparent",https://storage.googleapis.com/web-nobu-prod/images/Logo_color.height-60.png
banks/indo/mayapada,downloaded,"brand-press | wordmark | 4.09:1 (horizontal, 3428x838) | transparent",https://www.bankmayapada.com/images/headers/logo Admin white.png
banks/indo/artha-graha,downloaded,"brand-site | wordmark | 5.67:1 (horizontal, 3467x611) | transparent",https://www.arthagraha.com/themes/arthagraha/assets/images/logo/Logo-BAG-samping-2-baris-hitam (1).png
banks/indo/maspion,downloaded,"brand-site | wordmark | 9.20:1 (horizontal, 368x40) | transparent",https://www.bankmaspion.co.id/assets/img/logo-bank-maspion.png
banks/indo/bumi-arta,downloaded,"brand-site | wordmark | 6.58:1 (horizontal, 711x108) | transparent",https://www.bankbba.co.id/bumiarta/assets/image/logo-bba.png
banks/indo/mestika,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/4f/c3/b6/4fc3b6a6-8678-b612-a28f-34f6a78f9842/AppIcon-0-0-1x_U007emarketing-0-6-0-85-220.png/1024x1024bb.png
banks/indo/ganesha,downloaded,"brand-site | wordmark | 1.90:1 (horizontal, 1027x540) | transparent",https://www.bankganesha.co.id/assets/images/logo-ayo-menabung-2024.png
banks/indo/ina-perdana,downloaded,"brand-site | icon | 1.00:1 (square, 24x24) | vector (verify no baked-in background)",https://www.bankina.co.id/favicon.svg
banks/indo/victoria,downloaded,"brand-site | wordmark | 5.71:1 (horizontal, 800x140) | transparent",https://victoriabank.co.id/images/logo2.png
banks/indo/capital,downloaded,"brand-site | wordmark | 6.67:1 (horizontal, 1280x192) | has own baked-in background",https://www.bankcapital.co.id/files/logo-1737007262.png
